municipio,region,year,total_population,policy_package,predicted_target,policy_intensity,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Las Marias,West,2024,8744.0,retention_bundle,-0.8242676591526064,1.2039763584793577,-1.3315440002665724,0.507276341113966,44.35624326700519
Las Piedras,East,2024,34951.0,retention_bundle,-0.6280593745646158,0.9626681339253906,-1.0336643229055134,0.40560494834089755,141.7629854946271
Loiza,East,2024,22768.0,retention_bundle,-1.9755119381406825,0.8249936532666112,-2.323109927855284,0.3475979897146013,79.14111029822043
Luquillo,East,2024,17532.0,retention_bundle,-0.8649442487930029,1.0148447899624542,-1.2925330035264722,0.42758875473346925,74.96486047987183
Manati,North,2024,38943.0,retention_bundle,-0.88031179717063,0.9850181941860302,-1.2953335888846096,0.41502179171397957,161.62193634717508
Maricao,West,2024,4988.0,retention_bundle,-2.196401614745631,1.1601565872359494,-2.685215190317521,0.4888135755718901,24.382021149525876
Maunabo,East,2024,10399.0,retention_bundle,-0.9457398869618203,1.3239395659739184,-1.5035608226914126,0.5578209357295922,58.0077991065203
Mayaguez,West,2024,70828.0,retention_bundle,-1.5779481740892165,0.9460677626588799,-1.9765588193128631,0.39861064522364664,282.32794779900445
Moca,West,2024,37424.0,retention_bundle,-0.49571600952435335,0.8806918585333101,-0.8667815545404485,0.3710655450160951,138.86756956682345
Morovis,Central Mountains,2024,28397.0,retention_bundle,-0.8459083102902603,0.9462293525103892,-1.2445870388346936,0.3986787285444333,113.21279854476273
Naguabo,East,2024,23054.0,retention_bundle,-0.8795309554071358,1.0597636716102299,-1.3260455684174184,0.4465146130102826,102.93947888339055
Naranjito,Central Mountains,2024,29310.0,retention_bundle,-0.26492109978393974,0.9818630159652245,-0.6786135072021733,0.41369240741823354,121.25324461428426
Orocovis,Central Mountains,2024,21309.0,retention_bundle,-0.6236632158031286,0.9593203006207283,-1.0278576076846007,0.4041943918814721,86.1297829660229
Patillas,South,2024,15563.0,retention_bundle,-1.447794246581662,0.8711224872685519,-1.8148278888051819,0.36703364222351986,57.1214457392464
Penuelas,South,2024,19853.0,retention_bundle,-1.3648234701374091,1.0797635719000394,-1.8197647238954164,0.4549412537580073,90.31948710857719
Ponce,South,2024,132760.0,retention_bundle,-1.6520328652320635,0.9561876835337191,-2.054907378593648,0.40287451336158453,534.8562039388396
Quebradillas,North,2024,23409.0,retention_bundle,-0.7761601833405498,0.8167882689365703,-1.1203009645218918,0.34414078118134195,80.55991546674034
Rincon,West,2024,15378.0,retention_bundle,0.06783543303234052,0.9460649238250586,-0.3307740160937047,0.39860944912604523,61.29816108660324
