municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Santa Isabel,South,2030,17269.82385233582,17422.968638102284,17699.441128570674,17984.46034891734,18331.4975748663,18562.96961267566,18785.572259516688,hurricane_cat2,18170.72632329518,-186.2659743778422,-1.0250882164189885
Toa Alta,Metro,2030,57989.858712115914,58646.8039418579,59568.47674662197,60798.85891181794,62047.87497348827,63163.26874024505,63543.67492889496,hurricane_cat2,61285.884998354086,-487.0260865361488,-0.7946790464871781
Toa Baja,Metro,2030,66052.9996337762,66310.00907472112,66760.07514142428,67695.75918402027,68504.14109257574,69009.64510960512,69589.40468320192,hurricane_cat2,68133.91665316725,-438.15746914698684,-0.6430827562393168
Trujillo Alto,Metro,2030,59040.266808627326,59274.59146658192,60253.7904759317,61313.32952112093,62527.276847684465,63307.20202083141,63658.237217710426,hurricane_cat2,61768.33622351152,-455.0067023905867,-0.736634221041869
Utuado,Central Mountains,2030,24859.202983430114,25133.699497683814,25422.43957658783,25763.163676555952,26176.474915905274,26433.84669905913,26595.877815634274,hurricane_cat2,25967.390024042787,-204.22634748683413,-0.7864723689895067
Vega Alta,North,2030,31521.51634234017,31660.496353318133,32029.218630752028,32446.986844976804,32776.43762894481,33070.016586301346,33323.51756096294,hurricane_cat2,32631.33862559157,-184.35178061476472,-0.5649531658201247
Vega Baja,North,2030,46485.110917298094,47345.89055574021,48678.77108074944,49661.96293232896,50774.22493730097,51744.16718934644,52472.56609116891,hurricane_cat2,50039.66651522549,-377.7035828965236,-0.7548083534521565
Vieques,East,2030,6979.724872535907,7009.6499596501735,7084.816666042588,7159.071366394453,7236.396357066289,7319.486624073916,7373.531939961866,hurricane_cat2,7244.826433188862,-85.75506679440878,-1.1836731712655133
Villalba,South,2030,18911.291640330288,19034.955402443888,19247.913760673313,19541.493967777016,19819.66091231928,20169.804244452167,20246.67522549766,hurricane_cat2,19758.883830664738,-217.3898628877214,-1.1002132749540432
Yabucoa,East,2030,25052.993926917658,25254.797721970917,25595.965487887872,26047.177657721953,26420.589802784532,26849.148874954917,27119.20991797458,hurricane_cat2,26382.9580611793,-335.7804034573455,-1.2727170421099339
Yauco,South,2030,29227.105223174432,29425.007531414703,29762.409735923506,30105.97749541269,30580.03322441454,31015.394687684213,31236.43478633837,hurricane_cat2,30406.56143876256,-300.5839433498695,-0.9885496061606044
Adjuntas,Central Mountains,2030,16041.259311574619,16181.943176412331,16372.349005363118,16583.106645781176,16820.676315969482,16975.603009823775,17076.81123923978,hurricane_cat3,16775.140544575253,-192.0338987940777,-1.1447528459377208
Aguada,West,2030,33559.425031394276,33783.995307791345,34259.69717954482,34618.03078637521,35108.9408355007,35487.93770436887,35800.73866247255,hurricane_cat3,35074.98882129394,-456.95803491873085,-1.3028030806992381
Aguadilla,West,2030,46798.17401658132,47399.77339752601,48695.4681685877,49873.10574649274,50770.873989743064,52061.00366485492,52751.01554799084,hurricane_cat3,50460.53383745808,-587.4280909653389,-1.1641337225197501
Aguas Buenas,Central Mountains,2030,21216.63827279893,21333.63768836418,21611.975529118143,21836.14029230227,22063.845584547234,22233.073767830287,22368.505291942623,hurricane_cat3,22105.39176892521,-269.25147662293966,-1.2180353075734291
Aibonito,Central Mountains,2030,20959.415285282503,21253.611845979874,21885.288981209436,22503.747673927734,23213.813487514883,23723.228288377024,24216.8720795222,hurricane_cat3,22884.973699729395,-381.2260258016613,-1.665835542586484
Arecibo,North,2030,76064.55412719859,77108.93025154794,78299.02097142945,79868.77244008078,81363.2486959426,82727.88706173633,83664.36328911828,hurricane_cat3,80780.55067571937,-911.7782356385869,-1.1287101016416379
Arroyo,South,2030,12846.295361341821,12990.06611673706,13246.885072526338,13532.584107463746,13843.36199397657,14132.323775096249,14251.071325174618,hurricane_cat3,13792.16731790864,-259.58321044489276,-1.882106013228488
Añasco,West,2030,22588.741225209502,22734.12694720951,22946.729068873192,23148.20696914039,23422.561627638046,23628.8223963126,23856.961170397284,hurricane_cat3,23456.200146733834,-307.9931775934456,-1.3130565721077896
Barceloneta,North,2030,20055.714754339442,20192.766435924885,20470.956914442504,20694.397949040846,21006.352366542174,21308.838133350113,21485.087830125,hurricane_cat3,20944.37620592169,-249.97825688084413,-1.1935340275742696
