scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_5,Cidra,Central Mountains,36519.684523516524,36871.24925926882,-351.56473575229757,-0.9534928780963938
earthquake_m6_5,Juncos,East,32586.140890402683,32935.661674566174,-349.52078416349104,-1.061222900626893
earthquake_m6_5,San Lorenzo,East,33200.688425969674,33536.206149658195,-335.5177236885211,-1.0004641616026704
earthquake_m6_5,Aguada,West,34743.06141564192,35074.98882129394,-331.92740565202257,-0.9463364545693319
earthquake_m6_5,Cayey,Central Mountains,37828.16222640181,38154.4958045137,-326.3335781118949,-0.8552952181150023
earthquake_m6_5,Moca,West,34349.79444449186,34670.98454057217,-321.19009608031047,-0.9263945063470929
earthquake_m6_5,Las Piedras,East,30933.63380681255,31246.828497285904,-313.19469047335224,-1.002324733534337
earthquake_m6_5,Salinas,South,22565.002679383106,22878.13680519075,-313.1341258076427,-1.368704665393017
earthquake_m6_5,San Germán,West,29165.83374096636,29463.32748845498,-297.4937474886174,-1.009708586395031
earthquake_m6_5,Naranjito,Central Mountains,26862.63730057105,27158.50687645637,-295.86957588532096,-1.0894176812857463
earthquake_m6_5,Corozal,Central Mountains,31815.05385326271,32097.265682716767,-282.211829454056,-0.8792394724327468
earthquake_m6_5,Manatí,North,36155.17231848201,36432.21239398803,-277.04007550602546,-0.7604261649279966
earthquake_m6_5,Yabucoa,East,26108.201128441193,26382.9580611793,-274.7569327381061,-1.0414182219483263
earthquake_m6_5,Fajardo,East,27927.814432400846,28201.875605754627,-274.06117335378076,-0.971783498321148
earthquake_m6_5,Villalba,South,19487.79363633864,19758.883830664738,-271.09019432609784,-1.3719914376204807
earthquake_m6_5,Dorado,North,33100.34433282743,33370.71762534043,-270.3732925130025,-0.8102112023736987
earthquake_m6_5,Hatillo,North,35421.69537975469,35686.37064566523,-264.6752659105405,-0.741670450432006
earthquake_m6_5,Peñuelas,South,17993.688366066148,18255.245994604902,-261.5576285387542,-1.432780629831305
