region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
South,2030,370806.8199798955,372343.29558110377,374251.0080346371,377003.8534433977,380221.68777185073,382865.98589423165,384337.8957480966,earthquake_m6_0,380131.98752100463,-3128.1340776069555,-0.8229073533134611
West,2030,447337.88180526526,448866.1624528092,450459.8714549062,452900.4013652734,455472.26469410746,457655.38070749835,459369.83133944514,earthquake_m6_0,455520.22752818116,-2619.8261629077606,-0.5751283926783872
Central Mountains,2030,360284.14565289323,361185.96095792344,363017.2113434235,364910.20814042934,366740.93846620334,368195.45535860467,369872.26066086243,earthquake_m6_5,368299.85835839866,-3389.65021796932,-0.9203506710748706
East,2030,497357.32975935366,499044.5397904901,501455.2750773724,504093.31069005583,506465.5022072137,508683.7051265274,510769.6021554097,earthquake_m6_5,509146.07241677435,-5052.761726718512,-0.9923992348078936
Metro,2030,884235.3918337799,890350.2747871996,897596.1413318971,905864.8820788654,915971.0952565104,923789.4514049448,930112.1829124541,earthquake_m6_5,914050.0061197367,-8185.1240408712765,-0.8954788016049813
North,2030,344953.52880862,345894.36692336266,348273.8636915396,349957.49894168164,352289.5196408312,353973.44835888036,355479.1940786281,earthquake_m6_5,352760.8671887701,-2803.3682470884523,-0.7946936601639286
South,2030,368779.40261795575,370255.7992480092,372269.0076453466,374963.4288275532,378136.8763024121,380721.99688387517,382281.2517455511,earthquake_m6_5,380131.98752100463,-5168.558693451458,-1.3596747611685436
West,2030,445543.8425719323,446961.89898684813,448528.794476723,451050.4722633844,453549.1348384295,455917.4255252141,457364.58542581537,earthquake_m6_5,455520.22752818116,-4469.755264796782,-0.9812418844825628
Central Mountains,2030,358720.3233409826,359773.5766018937,361613.2030767203,363417.783332258,365377.8563383181,366848.12564962887,368323.38150675135,earthquake_m6_8,368299.85835839866,-4882.075026140665,-1.3255707042357419
East,2030,495265.3373077452,496904.73868622154,499343.3686481055,502031.4394044661,504300.2851976264,506540.97401487414,508560.3100409685,earthquake_m6_8,509146.07241677435,-7114.6330123082735,-1.3973657851345285
Metro,2030,880834.0413431439,887330.5442441677,894210.6253003993,902088.1823570174,912376.2448154398,920165.7517182595,926267.2891354938,earthquake_m6_8,914050.0061197367,-11961.823762719287,-1.3086618546723512
North,2030,343717.77155794867,344796.41533926176,347133.66148244636,348870.3981086695,351096.1472722742,352834.66595101537,354285.0380885484,earthquake_m6_8,352760.8671887701,-3890.4690801005927,-1.1028629992619667
South,2030,366688.6642943388,368223.7130750368,370273.686443584,372943.9715232927,376049.96213011787,378653.4175722285,380223.87574407697,earthquake_m6_8,380131.98752100463,-7188.015997711918,-1.890926371281695
West,2030,443644.8605036796,445022.9815582454,446570.546306169,449289.79222812527,451619.5161684529,453884.3289958612,455291.0181946634,earthquake_m6_8,455520.22752818116,-6230.435300055891,-1.3677625983514508
Central Mountains,2030,357209.33321643504,358307.0274294424,360157.2044612443,361993.97478215117,363881.2545179664,365305.7931425972,366879.04907349736,earthquake_m7_2,368299.85835839866,-6305.883576247492,-1.7121601958671222
