year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,unemployment_rate_pct,labor_force_participation_pct,median_income_nominal,median_income_real,cpi,total_housing_units,pct_no_vehicle,pct_below_poverty,pct_no_hs_diploma,pct_aged_65_plus,pct_aged_17_under,pct_disability,pct_single_parent,pct_lim_english,pct_multi_unit,pct_mobile_homes,pct_crowding,pct_group_quarters
2012,Río Grande Municipio,72119,54203.0,0.0,42642.0,139.0,21.3,51.5,22491.0,31542.4,229.59,22478.0,40.8,40.3,23.5,52.3,70.4,23.1,3.37,14.5,5.3,0.2,1.6,2.15
2012,Sabana Grande Municipio,72121,25216.0,0.0,19896.0,107.0,28.8,41.2,15958.0,22380.23,229.59,10321.0,44.8,50.4,25.2,53.5,71.2,24.0,2.32,11.1,2.1,0.0,1.4,0.68
2012,Salinas Municipio,72123,31019.0,0.0,23789.0,117.0,23.1,41.8,13386.0,18773.14,229.59,13120.0,44.8,59.5,30.6,52.6,67.8,20.3,5.4,13.9,0.8999999999999999,0.2,1.0,0.68
2012,San Germán Municipio,72125,35441.0,0.0,28400.0,112.0,7.1,37.5,15470.0,21695.83,229.59,14708.0,39.5,47.5,20.3,52.5,73.2,10.7,3.86,11.3,3.9,0.1,0.6,1.98
2012,San Juan Municipio,72127,393633.0,0.0,319020.0,360.0,16.0,54.3,23100.0,32396.49,229.59,184552.0,42.5,39.4,20.0,55.4,73.9,19.3,2.78,23.3,29.9,0.4,0.7,1.97
2012,San Lorenzo Municipio,72129,40979.0,0.0,32271.0,118.0,14.0,44.7,17875.0,25068.72,229.59,15323.0,38.7,46.5,20.0,51.7,70.9,21.6,4.74,9.9,1.0,0.1,1.1,0.49
2012,San Sebastián Municipio,72131,42291.0,0.0,33489.0,138.0,22.1,36.1,13658.0,19154.6,229.59,16495.0,46.9,56.3,32.5,52.0,71.4,24.8,3.08,12.9,1.2,0.0,1.0,0.37
2012,Santa Isabel Municipio,72133,23261.0,0.0,17436.0,89.0,13.2,45.9,18024.0,25277.68,229.59,8928.0,41.4,48.4,21.5,53.0,66.4,26.1,5.85,17.7,3.1999999999999997,0.1,0.7,0.09
2012,Toa Alta Municipio,72135,74178.0,0.0,56666.0,217.0,14.6,54.3,27211.0,38161.95,229.59,24355.0,37.8,36.2,18.7,52.5,68.1,19.2,4.23,14.8,1.3,0.6,0.7,0.39
2012,Toa Baja Municipio,72137,89294.0,0.0,70086.0,178.0,17.0,55.1,23572.0,33058.45,229.59,34568.0,43.0,38.6,17.3,53.7,70.9,21.8,3.18,14.4,2.9,0.1,1.2,0.32
2012,Trujillo Alto Municipio,72139,74655.0,0.0,58218.0,160.0,7.9,53.8,31354.0,43972.28,229.59,28093.0,38.1,30.7,11.8,54.0,70.6,17.3,3.08,18.1,12.2,0.1,0.6,1.13
2012,Utuado Municipio,72141,33033.0,0.0,26040.0,99.0,30.9,39.3,14752.0,20688.88,229.59,12717.0,44.6,54.5,12.5,51.8,70.3,22.1,5.85,12.3,0.7,0.3,1.3,0.32
2012,Vega Alta Municipio,72143,39913.0,0.0,30786.0,146.0,19.5,39.6,17616.0,24705.48,229.59,15196.0,47.2,49.9,25.4,53.3,69.3,20.7,3.73,16.6,3.6,0.2,1.1,1.35
2012,Vega Baja Municipio,72145,59444.0,0.0,46327.0,149.0,12.7,34.5,16462.0,23087.06,229.59,23424.0,47.6,51.4,34.2,53.0,70.3,22.2,1.3,22.9,0.8,0.1,0.1,0.46
2012,Vieques Municipio,72147,9293.0,0.0,7358.0,60.0,12.7,47.0,16598.0,23277.79,229.59,4544.0,45.6,45.3,35.3,51.0,71.6,12.0,2.16,14.5,0.5,1.5,1.3,0.11
2012,Villalba Municipio,72149,25983.0,0.0,19771.0,113.0,28.2,48.4,16014.0,22458.76,229.59,8645.0,42.8,54.2,24.2,51.6,66.8,24.0,7.03,8.6,2.4,0.1,1.2,0.62
2012,Yabucoa Municipio,72151,37823.0,0.0,29677.0,135.0,23.3,39.0,17926.0,25140.24,229.59,13881.0,43.7,51.0,23.7,52.0,70.3,26.0,4.58,8.1,0.4,0.0,1.1,0.42
2012,Yauco Municipio,72153,41876.0,0.0,33137.0,101.0,31.1,42.6,14728.0,20655.22,229.59,16848.0,48.2,55.2,26.4,52.8,71.2,22.9,2.19,8.3,1.9,0.1,1.2,0.65
2013,Adjuntas Municipio,72001,19334.0,0.0,15087.0,79.0,27.2,39.6,11528.0,15933.81,232.95,7298.0,49.5,60.2,19.5,51.7,70.1,22.5,2.49,7.7,1.4000000000000001,0.0,1.0,0.34
2013,Aguada Municipio,72003,41595.0,0.0,33414.0,140.0,30.3,47.5,15665.0,21651.9,232.95,16683.0,42.7,54.4,23.5,51.4,72.4,28.6,2.98,16.2,1.5,0.1,1.4,0.25
