scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,Luquillo,East,14878.71644539271,15710.201098535366,-831.4846531426556,-5.292641691392311
hurricane_cat5_maria_like,Añasco,West,22611.293432109742,23431.57115298224,-820.2777208724983,-3.5007371700215586
hurricane_cat5_maria_like,Lajas,West,20850.739812125765,21645.391562267323,-794.6517501415583,-3.6712283437127144
hurricane_cat5_maria_like,Aguas Buenas,Central Mountains,21297.91830213813,22065.92335107903,-768.0050489409005,-3.4805026588807797
hurricane_cat5_maria_like,Guayanilla,South,15069.873150599304,15814.800062158916,-744.9269115596126,-4.710315075952473
hurricane_cat5_maria_like,Sabana Grande,West,20424.62154199293,21137.31049099842,-712.6889490054928,-3.371710650269342
hurricane_cat5_maria_like,Cataño,Metro,20127.99923231858,20838.772652308602,-710.7734199900224,-3.410821893636236
hurricane_cat5_maria_like,Orocovis,Central Mountains,19013.028268427526,19695.71791124165,-682.6896428141226,-3.466183085534884
hurricane_cat5_maria_like,Barceloneta,North,20226.70091227856,20906.053004419417,-679.3520921408563,-3.249547353569061
hurricane_cat5_maria_like,Patillas,South,13342.442096456034,14005.914380625578,-663.4722841695439,-4.737086534580898
hurricane_cat5_maria_like,Arroyo,South,13136.38416126417,13795.982790661492,-659.5986293973219,-4.781091999069502
hurricane_cat5_maria_like,Quebradillas,North,21121.19364694104,21776.837298446742,-655.643651505703,-3.0107386234293423
hurricane_cat5_maria_like,Comerío,Central Mountains,16802.59077728314,17439.786168247112,-637.1953909639706,-3.6536880946632366
hurricane_cat5_maria_like,Ciales,Central Mountains,15081.394475932299,15653.090050125733,-571.6955741934344,-3.6522857299274416
hurricane_cat5_maria_like,Adjuntas,Central Mountains,16199.437078583684,16752.12993968087,-552.6928610971881,-3.2992393390408297
hurricane_cat5_maria_like,Guánica,West,10737.669132214825,11278.016233257078,-540.3471010422527,-4.791153779765407
hurricane_cat5_maria_like,Ceiba,East,9394.569835778468,9919.600237075274,-525.0304012968063,-5.292858469582923
hurricane_cat5_maria_like,Maunabo,East,8770.68236297461,9276.123239167518,-505.44087619290804,-5.448837441688287
hurricane_cat5_maria_like,Rincón,West,13737.186245050336,14236.207086822731,-499.0208417723952,-3.505293500782924
hurricane_cat5_maria_like,Jayuya,Central Mountains,13147.229760442142,13641.716627164551,-494.4868667224091,-3.624814092221683
hurricane_cat5_maria_like,Hormigueros,West,13935.46412072636,14413.154947967112,-477.6908272407527,-3.314269699904448
hurricane_cat5_maria_like,Vieques,East,6843.174052268372,7234.907579841597,-391.7335275732248,-5.414492490058893
hurricane_cat5_maria_like,Florida,North,10400.673530886543,10724.827001171994,-324.1534702854515,-3.0224587329010384
hurricane_cat5_maria_like,Las Marías,West,7847.826937916608,8116.669604851807,-268.8426669351993,-3.312228783767376
hurricane_cat5_maria_like,Maricao,West,4565.548849340683,4736.591058029554,-171.04220868887114,-3.611082455575668
hurricane_cat5_maria_like,Culebra,East,1117.1868581615574,1173.6159986412554,-56.429140479697935,-4.8081434255351265
