region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
East,2030,476949.01540726976,477625.8169841674,479388.283845471,481038.6664090201,482639.4778781377,484163.01194442116,485332.0698185723,hurricane_cat5_maria_like,511319.66344207566,-30280.99703305558,-5.922126450058953
Metro,2030,873251.9496714645,876295.5784148307,882425.2871144365,888331.1005829365,893233.6333685184,899136.8126279677,902557.3466978852,hurricane_cat5_maria_like,921805.4782085718,-33474.37762563524,-3.631392784808465
North,2030,335831.49001642584,336989.9789708544,338347.66600209236,339905.24231483537,341342.66274960316,342304.8868941988,343175.2334487274,hurricane_cat5_maria_like,351939.0608739915,-12033.818559156149,-3.419290410468176
South,2030,356225.0495452068,356859.47513610445,357879.49008973857,359621.7584555841,361330.6925029854,362913.99617117975,363672.75718894677,hurricane_cat5_maria_like,381348.17132198333,-21726.412866399216,-5.697264206376637
West,2030,432836.24322325084,433669.76178109634,434945.2204520185,436827.4269314821,438372.47582821763,439825.85382498335,440864.23121811944,hurricane_cat5_maria_like,454340.50356000906,-17513.076628526964,-3.854614873933168
Central Mountains,2030,361794.006571963,362604.1686132739,363498.5673073601,364755.8903108162,365854.8566085645,367158.9744369625,367703.6291904702,earthquake_m6_0,366731.7182364984,-1975.8279256822425,-0.538766577154384
East,2030,503174.8732878178,504134.412847864,505862.04423269344,507845.4084120083,509484.04643453495,511005.54394445557,512216.28524928924,earthquake_m6_0,511319.66344207566,-3474.2550300673465,-0.6794683010388323
Metro,2030,902745.5095105062,907298.4815819844,912037.8147353323,917250.3681522378,923987.7224855798,929151.103668234,933090.5907271456,earthquake_m6_0,921805.4782085718,-4555.110056333942,-0.4941508988627732
North,2030,346734.40770944883,347261.6564936652,349221.5632107811,350159.5363514627,351871.5689093473,352826.6408564028,353735.3255815931,earthquake_m6_0,351939.0608739915,-1779.524522528809,-0.5056342760333589
South,2030,375105.1094225003,375754.02079273184,377009.16172081686,378660.32368166157,380534.7348801992,381566.3387525005,382880.5243790578,earthquake_m6_0,381348.17132198333,-2687.8476403217646,-0.7048277250167635
West,2030,447861.63502661453,448538.3327353339,449864.06882698316,451481.4281621592,453077.5487403335,454541.8179432331,455555.3435059777,earthquake_m6_0,454340.50356000906,-2859.0753978498396,-0.6292803250970149
Central Mountains,2030,360574.8990135194,361180.9720185339,362131.18538585247,363415.05904699187,364530.50153759564,365624.13502218755,366436.03187519975,earthquake_m6_5,366731.7182364984,-3316.6591895065503,-0.9043829656882034
East,2030,500823.57358018414,501834.0366127385,503566.85235150973,505486.597547797,507265.301716703,508816.6284669463,509790.7950246216,earthquake_m6_5,511319.66344207566,-5833.0658942786395,-1.1407865394833252
