year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,target_pop_change,vulnerability_index
2015,San Sebastián,72131,40471,0,32519,140,17576,226,29.4,0,38.2,0,14345,19767.39,1273,237.0,27876,59.5,6424,683.5736976,18.0,5024,32,38.0,416.0,7.2,1.6,56.53,29.36,7519,41.26,22.29,19.5,25.73,13.64,99.44,18.13,3.41,0.1,4.0,17.51,182,0.45,18.3372,-66.9905,45.0,0.0,-1.7789534996602296,2.2115597202871506
2016,San Sebastián,72131,39755,0,32153,128,17695,266,30.1,0,37.3,0,13866,18868.2,1143,240.01,27647,61.5,6748,606.8648944,17.4,4810,48,44.0,420.0,6.9,1.5,56.48,30.13,7578,39.21,21.61,20.39,26.2,12.7,99.23,0.0,3.66,0.27,3.62,18.33,175,0.44,18.3372,-66.9905,0.0,0.0,-1.7691680462553427,2.1633584136037225
2017,San Sebastián,72131,38970,0,31785,175,17733,320,28.0,0,37.2,0,14275,19019.36,1197,245.12,27381,64.2,6829,606.3200475,18.2,4988,71,58.0,421.0,7.0,1.5,55.33,27.96,8072,36.57,20.92,21.28,25.01,12.21,99.11,0.0,3.59,0.26,3.19,16.72,215,0.55,18.3372,-66.9905,115.0,4.3,-1.974594390642681,1.6345854877865178
2018,San Sebastián,72131,37964,0,31318,143,17847,286,25.9,0,37.1,0,14812,19264.96,1029,251.1,26977,66.3,7211,680.6856837,18.3,4937,57,55.0,441.0,6.6,1.5,54.43,25.86,8739,34.43,20.13,22.09,21.94,11.45,98.31,0.0,2.92,0.46,3.17,16.01,203,0.53,18.3372,-66.9905,0.0,0.0,-2.581472927893247,1.3057377354224156
2019,San Sebastián,72131,37120,0,30881,136,18010,244,20.0,0,36.8,0,15331,19584.86,1214,255.65,26710,67.8,7237,652.9931087,19.2,5130,130,97.0,447.0,5.3,1.1,53.46,20.03,9498,32.98,19.3,23.0,22.92,11.53,97.29,0.0,3.25,0.46,2.73,15.11,200,0.54,18.3372,-66.9905,0.0,4.7,-2.223158782004009,0.7171092203965255
2020,San Sebastián,72131,36292,0,30364,188,18225,272,15.5,0,35.6,0,15995,20180.26,1431,258.86,26391,67.8,7125,566.4079802,19.7,5188,119,92.0,457.0,4.6,1.1,51.6,15.46,10069,32.95,18.61,23.8,24.93,11.19,97.06,0.0,3.02,0.44,2.75,12.51,221,0.61,18.3372,-66.9905,45.0,6.4,-2.2306034482758585,0.03859815558197429
2021,San Sebastián,72131,39351,0,33262,197,18290,250,13.1,0,37.6,0,16812,20262.49,1346,270.97,28941,69.5,7618,734.4126905,20.8,6006,152,107.0,484.0,5.3,1.0,50.65,13.13,10537,31.22,17.97,24.49,24.84,10.08,96.94,0.0,2.64,0.32,3.01,11.17,208,0.53,18.3372,-66.9905,35.0,4.46,8.428854844042766,-0.41936828162334855
2022,San Sebastián,72131,39183,0,33416,154,18369,489,14.9,0,38.4,0,17557,19594.63,1437,292.63,29132,70.0,7664,790.3398003,21.1,6141,236,141.0,520.0,5.3,1.2,52.44,14.89,11370,30.69,17.27,25.31,27.1,10.6,96.88,23.83,2.47,0.3,3.2,11.73,277,0.71,18.3372,-66.9905,75.0,4.22,-0.42692688877029594,-0.25214292895557555
2023,San Sebastián,72131,39168,0,33593,152,18533,545,13.8,0,39.3,0,17834,19114.91,1873,304.7,29380,71.7,7843,771.9151508,22.8,6698,261,148.0,567.0,5.3,1.2,52.39,13.79,11827,29.0,16.74,25.97,29.88,9.93,98.03,24.15,2.9,0.11,3.03,10.06,295,0.75,18.3372,-66.9905,0.0,4.5,-0.038281907970294515,-0.6928826551459429
2024,San Sebastián,72131,39088,0,33703,169,19193,561,13.0,0,38.3,0,19920,20738.51,1708,313.7,29617,70.9,7451,700.6604028,21.7,6417,164,97.0,,4.7,1.1,49.69,13.03,12443,29.77,16.17,26.71,30.09,8.68,98.98,24.51,2.56,0.05,2.98,9.63,292,0.75,18.3372,-66.9905,0.0,4.4,-0.20424836601307117,-0.8960461732272929
2011,Santa Isabel,72133,23210,0,17190,100,8941,143,16.3,0,46.7,0,17601,25556.64,1671,224.92,14195,50.1,4235,303.2111476,20.2,2874,35,100.3194896,152.0,0.0,0.0,49.58,16.28,8690,33.1,29.35,12.27,0.0,19.28,99.86,25.66,3.81,0.08,10.08,20.89,26,0.0,17.9666,-66.405,65.0,0.0,0.419677237918048,1.4996157000795207
2012,Santa Isabel,72133,23261,0,17436,89,8928,151,13.2,0,45.9,0,18024,25639.28,1617,229.59,14352,70.5,4294,374.0080213,20.9,2996,50,32.0,162.0,0.0,0.0,48.39,13.2,9159,30.95,28.72,12.72,26.03,19.53,100.0,28.88,4.41,0.09,7.68,20.25,21,0.09,17.9666,-66.405,0.0,0.0,0.21973287376131356,0.393344355665621
2013,Santa Isabel,72133,23231,0,17574,86,9122,148,11.7,0,45.5,0,18033,25281.46,1507,232.95,14455,70.8,4181,444.9224652,21.1,3044,45,40.0,156.0,93.4,1.4,48.99,11.72,9412,30.65,28.04,13.25,25.75,21.48,100.0,32.32,3.89,0.09,6.25,18.55,20,0.09,17.9666,-66.405,0.0,0.0,-0.1289712394136111,0.15336811269502323
2014,Santa Isabel,72133,23114,0,17661,84,9237,154,12.3,0,43.8,0,16344,22549.29,1598,236.72,14533,71.1,4391,415.1204644,22.2,3228,49,46.0,153.0,92.9,1.8,50.83,12.29,8863,30.32,27.15,13.89,26.09,20.48,100.0,34.43,4.01,0.08,6.46,16.79,15,0.06,17.9666,-66.405,0.0,0.0,-0.5036373810856198,0.07142954589066032
2015,Santa Isabel,72133,22913,0,17697,105,9316,136,12.2,0,44.5,0,15674,21598.74,2135,237.0,14540,75.2,4558,425.7933771,24.2,3516,77,55.0,153.0,7.0,1.8,50.06,12.23,9199,26.2,26.34,14.45,25.27,20.21,99.83,35.85,4.25,0.11,6.34,15.94,12,0.05,17.9666,-66.405,45.0,0.0,-0.8696028381067755,-0.37414249400764676
2016,Santa Isabel,72133,22732,0,17744,114,9380,141,10.9,0,45.7,0,15295,20812.71,1837,240.01,14604,77.1,5055,515.7567256,22.8,3336,110,80.0,158.0,7.9,2.1,50.37,10.91,9545,24.28,25.38,15.07,22.97,21.68,99.65,0.0,4.68,0.19,6.14,15.24,11,0.05,17.9666,-66.405,0.0,0.0,-0.7899445729498522,-0.5878270262536746
2017,Santa Isabel,72133,22475,0,17731,120,9417,156,9.7,0,45.7,0,16816,22404.87,2183,245.12,14646,78.6,5297,539.8962863,23.6,3455,118,79.0,161.0,7.2,1.8,49.14,9.72,10478,22.78,24.37,15.69,21.68,21.86,99.64,0.0,3.3,0.37,5.17,15.31,8,0.04,17.9666,-66.405,135.0,0.0,-1.1305648425127601,-0.8013774053177144
2018,Santa Isabel,72133,22066,0,17672,116,9282,182,8.4,0,47.4,0,17640,22943.15,2025,251.1,14611,81.8,5709,515.6820726,24.1,3514,119,73.0,160.0,7.5,1.9,47.1,8.44,10895,19.6,23.29,16.19,23.35,19.08,99.6,0.0,2.73,0.38,4.94,13.44,6,0.03,17.9666,-66.405,0.0,0.0,-1.819799777530584,-1.48760533964704
2019,Santa Isabel,72133,21757,0,17658,99,9194,201,7.1,0,48.7,0,19827,25328.36,2150,255.65,14655,83.8,5840,557.840479,25.3,3710,126,81.0,170.0,8.7,2.3,45.35,7.07,11596,17.56,22.18,16.77,24.47,19.06,99.55,0.0,2.43,0.59,4.71,12.81,5,0.02,17.9666,-66.405,40.0,5.0,-1.4003444212816074,-1.9171848748950129
2020,Santa Isabel,72133,21474,0,17665,109,9219,198,6.5,0,49.3,0,20000,25233.2,1893,258.86,14706,82.8,5877,540.4479623,24.9,3661,130,79.0,170.0,8.9,2.4,48.36,6.5,11413,18.64,21.16,17.28,25.73,17.1,99.78,0.0,1.76,0.65,4.59,11.97,5,0.02,17.9666,-66.405,45.0,6.4,-1.3007307992829897,-1.7968610474622049
2021,Santa Isabel,72133,20530,0,17110,81,9135,207,8.4,0,48.9,0,20784,25049.71,1664,270.97,14294,83.9,5515,606.3604539,26.8,3824,152,77.0,182.0,7.8,2.2,46.31,8.39,12308,17.56,20.38,17.59,28.46,16.55,100.0,0.0,1.97,0.42,4.06,12.08,5,0.02,17.9666,-66.405,35.0,4.2,-4.39601378411102,-1.9709230086162939
2022,Santa Isabel,72133,20207,0,17025,76,9142,348,8.6,0,47.1,0,22680,25312.19,1860,292.63,14291,83.1,5273,552.9855333,27.0,3863,145,77.0,191.0,6.8,2.0,46.43,8.56,13541,18.29,19.38,18.18,30.1,14.84,99.86,37.5,3.08,0.23,3.93,11.2,15,0.07,17.9666,-66.405,75.0,4.22,-1.5733073550901144,-2.0343801604393814
2023,Santa Isabel,72133,20064,0,16959,83,9178,339,6.2,0,48.0,0,23197,24863.1,1947,304.7,14370,82.9,5089,551.0898293,28.8,4137,168,93.0,196.0,5.6,1.8,45.74,6.17,15896,18.5,18.55,18.54,30.17,13.86,99.72,36.76,4.03,0.25,4.24,11.72,21,0.1,17.9666,-66.405,0.0,4.45,-0.7076755579749627,-2.1249021043705008
2024,Santa Isabel,72133,19903,0,17001,101,9552,331,5.9,0,48.5,0,25795,26854.91,2527,313.7,14442,83.2,4960,514.1254711,30.3,4374,198,109.0,,4.0,1.4,41.76,5.9,17827,18.24,17.76,19.02,28.76,14.2,99.74,40.06,3.47,0.0,3.92,11.41,32,0.16,17.9666,-66.405,0.0,0.0,-0.8024322169059017,-2.410683766340134
2011,Toa Alta,72135,73553,0,55682,218,24597,259,12.1,0,51.3,0,26526,38515.73,1168,224.92,45595,48.1,11080,707.1421356,23.8,10862,280,148.4082208,315.0,0.0,0.0,37.55,12.13,11821,25.38,27.81,9.54,0.0,16.7,99.55,27.09,3.15,0.44,7.9,11.83,288,0.0,18.3883,-66.2485,70.0,0.0,1.0954423002913938,-1.0633656638953028
2012,Toa Alta,72135,74178,0,56666,217,24355,316,14.6,0,54.3,0,27211,38707.86,1217,229.59,46365,75.7,10832,711.5180953,25.6,11863,288,149.0,325.0,0.0,0.0,36.2,14.61,12340,24.76,27.18,9.92,19.17,16.36,99.69,26.54,3.42,0.56,7.55,11.09,292,0.39,18.3883,-66.2485,0.0,0.0,0.8497274074476868,-1.6264618049077022
2013,Toa Alta,72135,74561,0,57480,210,24801,350,16.2,0,53.9,0,28255,39612.25,1590,232.95,47051,76.1,11589,772.4894821,26.6,12495,331,190.0,344.0,92.2,0.9,35.19,16.24,12584,24.37,26.47,10.36,19.98,16.6,99.69,26.43,3.55,0.57,7.87,10.03,309,0.41,18.3883,-66.2485,0.0,0.0,0.5163255951899481,-1.7780015523967825
2014,Toa Alta,72135,74688,0,58177,208,25323,305,15.4,0,54.0,0,29183,40262.84,1523,236.72,47635,76.6,11946,776.4560516,28.0,13326,354,192.0,347.0,92.0,1.0,32.9,15.43,13197,23.84,25.67,10.88,20.62,16.27,99.69,27.22,3.85,0.7,6.88,9.61,311,0.42,18.3883,-66.2485,0.0,0.0,0.17033033355240423,-2.065252467849319
2015,Toa Alta,72135,74603,0,58794,200,25715,285,15.7,0,54.0,0,29976,41306.88,1514,237.0,48098,78.3,11778,834.2865215,30.0,14440,387,196.0,341.0,7.3,1.0,31.34,15.7,13689,22.15,24.9,11.37,20.2,16.22,99.74,27.1,3.26,0.75,6.31,9.15,305,0.41,18.3883,-66.2485,0.0,0.0,-0.11380676949442892,-2.3199450925544176
2016,Toa Alta,72135,74467,0,59519,181,25726,283,15.0,0,53.2,0,29578,40248.34,1532,240.01,48681,79.3,11851,901.7538467,31.9,15511,298,137.0,329.0,6.6,1.0,30.58,15.04,13816,21.08,23.96,11.99,18.57,14.35,99.66,0.0,3.49,0.79,5.22,8.63,295,0.4,18.3883,-66.2485,0.0,0.0,-0.1822982989960198,-2.5024760507072568
2017,Toa Alta,72135,74169,0,59855,222,25828,302,13.8,0,51.7,0,29672,39533.61,1584,245.12,49185,80.4,12608,897.6970536,30.8,15136,404,188.0,299.0,6.9,1.0,29.81,13.81,14162,19.97,23.06,12.59,18.09,13.74,99.56,0.0,3.72,0.8,4.8,8.39,308,0.42,18.3883,-66.2485,150.0,0.0,-0.4001772597257869,-2.7109316516663027
2018,Toa Alta,72135,73405,0,59877,177,25976,376,12.1,0,51.4,0,28863,37540.14,1418,251.1,49456,81.2,12394,855.9369136,30.0,14824,363,157.0,304.0,7.0,1.1,29.01,12.1,14241,19.25,22.03,13.24,16.71,13.42,99.51,0.0,3.49,0.76,3.78,8.0,294,0.4,18.3883,-66.2485,0.0,4.4,-1.0300799525408189,-2.910243286256687
2019,Toa Alta,72135,72864,0,60157,177,26205,252,11.5,0,51.8,0,28834,36834.51,1466,255.65,49908,82.6,12078,889.4099167,29.3,14599,343,148.0,341.0,6.6,0.8,29.4,11.5,14661,17.85,20.99,13.88,14.82,12.63,99.18,0.0,2.8,0.61,3.6,7.34,301,0.41,18.3883,-66.2485,40.0,0.0,-0.7370070158708497,-3.0497253173944108
2020,Toa Alta,72135,72450,0,60323,215,26384,302,10.3,0,50.7,0,27626,34854.62,1617,258.86,50441,82.6,12860,855.0988247,27.6,13927,393,166.0,374.0,6.5,1.0,31.1,10.26,14408,17.78,19.99,14.6,13.82,11.51,99.02,0.0,3.02,0.6,3.14,6.75,319,0.44,18.3883,-66.2485,45.0,0.0,-0.5681818181818232,-3.0475353470743154
2021,Toa Alta,72135,67602,0,56644,195,26328,277,10.1,0,50.5,0,28098,33864.83,2014,270.97,47853,83.4,12588,1046.83332,26.9,12886,430,232.0,386.0,6.5,1.0,32.39,10.1,15038,16.99,19.07,15.33,14.17,13.29,99.16,0.0,2.83,0.45,3.11,6.95,332,0.49,18.3883,-66.2485,0.0,0.0,-6.691511387163562,-3.023599091118421
2022,Toa Alta,72135,66699,0,56530,192,26651,644,8.6,0,51.3,0,32456,36222.77,2077,292.63,48006,84.9,12741,994.4908245,27.9,13373,506,214.0,420.0,5.7,0.9,32.29,8.63,16887,15.52,18.05,16.31,15.06,13.98,99.42,37.61,2.99,0.2,3.58,6.37,360,0.54,18.3883,-66.2485,75.0,0.0,-1.3357592970622223,-3.303615790247947
2023,Toa Alta,72135,66536,0,56956,188,26786,644,8.2,0,52.2,0,33349,35744.26,2264,304.7,48508,85.4,12808,994.3968021,28.4,13780,518,189.0,439.0,6.1,1.0,33.83,8.16,18128,15.05,17.26,16.91,16.63,13.69,99.45,36.76,3.63,0.18,3.31,6.26,404,0.61,18.3883,-66.2485,0.0,0.0,-0.24438147498463403,-3.3132530623800185
2024,Toa Alta,72135,66320,0,57044,214,27839,536,7.3,0,54.0,0,35241,36689.05,2177,313.7,48979,86.0,13201,986.9736572,31.2,15291,657,220.0,,6.7,1.2,32.75,7.27,19840,14.41,16.52,17.57,17.78,14.77,99.71,36.38,4.94,0.24,3.52,5.53,426,0.64,18.3883,-66.2485,0.0,0.0,-0.32463628712275927,-3.5842503311395784
2011,Toa Baja,72137,90147,0,70321,205,34990,282,15.4,0,54.7,0,22942,33311.76,880,224.92,58448,47.4,16402,665.748451,19.3,11306,121,65.7951366,697.0,0.0,0.0,38.42,15.44,11124,26.51,24.85,13.24,0.0,15.84,99.38,25.28,3.73,0.13,6.85,15.58,280,0.0,18.4438,-66.2591,70.0,0.0,-0.7923668658588956,-0.34448405020696304
2012,Toa Baja,72137,89294,0,70086,178,34568,293,17.0,0,55.1,0,23572,33531.35,945,229.59,58395,74.9,16325,902.5126038,20.0,11704,114,62.0,721.0,0.0,0.0,38.58,16.99,11328,25.47,24.34,13.82,21.73,16.09,99.44,25.5,4.21,0.15,6.4,15.05,283,0.32,18.4438,-66.2591,0.0,0.0,-0.9462322650781507,-0.9290996048573452
2013,Toa Baja,72137,88195,0,69668,173,34677,279,17.6,0,55.0,0,23934,33554.4,988,232.95,58185,76.2,16730,927.7240969,20.3,11839,159,90.0,727.0,91.6,0.9,38.07,17.6,11562,24.19,23.81,14.45,22.25,16.54,99.54,25.7,4.74,0.2,6.45,12.98,317,0.36,18.4438,-66.2591,0.0,0.0,-1.2307657849351616,-1.2715116728870113
2014,Toa Baja,72137,86873,0,69206,154,34734,318,17.9,0,55.0,0,23642,32618.1,869,236.72,57831,76.8,16993,834.3428552,20.5,11853,146,80.0,712.0,91.7,1.0,37.77,17.86,11736,23.6,23.27,15.18,22.75,16.08,99.62,28.8,4.73,0.2,6.32,12.51,327,0.38,18.4438,-66.2591,0.0,0.0,-1.4989511877090522,-1.3853369360032493
2015,Toa Baja,72137,85242,0,68452,148,34673,389,19.0,0,54.2,0,23303,32111.49,983,237.0,57260,78.2,16805,901.9368049,22.3,12748,218,93.0,715.0,7.9,1.0,38.44,18.99,11673,22.18,22.77,15.87,23.54,15.32,99.71,29.91,5.02,0.21,5.65,13.31,329,0.39,18.4438,-66.2591,0.0,0.0,-1.8774532938887756,-1.3296480703334121
2016,Toa Baja,72137,83645,0,67560,178,34592,357,18.3,0,53.9,0,23889,32507.02,903,240.01,56813,78.6,16265,796.4577829,23.0,13058,282,123.0,720.0,7.5,0.9,36.92,18.33,12008,21.74,22.12,16.67,23.04,14.7,99.56,0.0,4.92,0.19,5.25,13.11,335,0.4,18.4438,-66.2591,0.0,0.0,-1.8734895943314345,-1.5040394222152973
2017,Toa Baja,72137,81905,0,66674,187,34589,322,18.7,0,52.8,0,24583,32753.26,1174,245.12,56272,79.0,15709,735.6208262,24.3,13656,339,133.0,742.0,7.0,0.9,35.84,18.67,12240,21.37,21.47,17.44,22.23,13.68,99.46,0.0,4.59,0.26,4.74,11.7,341,0.42,18.4438,-66.2591,150.0,0.0,-2.0802199772849583,-1.7165149871366265
2018,Toa Baja,72137,79726,0,65614,222,34681,346,17.5,0,52.1,0,24899,32384.43,1165,251.1,55496,80.2,15364,855.7622333,25.6,14202,411,125.0,725.0,6.8,0.9,36.18,17.51,12763,20.2,20.67,18.22,20.34,12.66,99.21,0.0,4.12,0.3,4.43,12.5,347,0.44,18.4438,-66.2591,0.0,4.4,-2.6603992430254575,-1.7101601553673853
2019,Toa Baja,72137,77810,0,64602,202,34692,377,15.9,0,51.0,0,25105,32070.83,1231,255.65,54905,81.1,14763,748.3615436,26.8,14700,415,131.0,747.0,7.0,1.0,36.54,15.91,13106,19.24,19.79,19.03,19.69,12.02,98.87,0.0,4.2,0.57,4.2,11.57,355,0.46,18.4438,-66.2591,40.0,0.0,-2.4032310664024337,-1.9272949279089355
2020,Toa Baja,72137,76008,0,63560,179,34916,325,14.4,0,50.2,0,25090,31655.05,1296,258.86,54298,81.4,14854,841.9418032,26.3,14269,421,132.0,746.0,7.7,1.0,36.5,14.36,13510,18.94,18.96,19.79,21.03,12.68,98.86,0.0,4.84,0.63,4.27,9.59,392,0.52,18.4438,-66.2591,45.0,0.0,-2.315897699524483,-2.2784457211583495
2021,Toa Baja,72137,76248,0,64421,214,34889,335,13.4,0,51.5,0,26587,32043.72,1297,270.97,55064,81.9,14398,827.8629114,27.6,15221,438,121.0,777.0,7.2,0.9,35.64,13.41,14621,18.53,18.11,20.38,23.63,12.06,99.19,0.0,5.1,0.58,4.06,8.6,428,0.56,18.4438,-66.2591,0.0,0.0,0.3157562361856714,-2.5870739408097845
2022,Toa Baja,72137,74854,0,63785,192,35031,783,11.3,0,52.3,0,28719,32052.06,1563,292.63,54759,83.3,14304,924.8853983,27.3,14960,512,153.0,820.0,6.6,0.8,35.45,11.31,16260,17.05,17.32,21.31,26.5,12.8,99.23,32.61,4.93,0.56,3.83,9.07,482,0.64,18.4438,-66.2591,75.0,0.0,-1.8282446752701742,-2.836275228447303
2023,Toa Baja,72137,73987,0,63387,165,35263,729,9.3,0,53.3,0,29648,31777.44,1562,304.7,54678,84.1,14551,948.2895128,27.7,15126,466,176.0,832.0,6.4,0.8,33.83,9.26,17390,16.27,16.7,21.94,28.42,13.8,99.48,30.47,5.07,0.48,2.98,9.09,501,0.68,18.4438,-66.2591,0.0,0.0,-1.1582547358858553,-3.1429390685907364
2024,Toa Baja,72137,73039,0,63020,163,36615,620,8.2,0,54.5,0,32017,33332.58,2754,313.7,54525,84.6,14545,926.4755798,28.6,15611,475,186.0,,6.4,0.9,32.4,8.2,18984,15.77,16.1,22.55,30.34,13.37,99.75,31.45,5.26,0.25,2.71,9.15,463,0.63,18.4438,-66.2591,0.0,0.0,-1.2813061754091915,-3.3670134898108617
2011,Trujillo Alto,72139,75122,0,58186,160,28266,276,8.4,0,54.6,0,30571,44389.07,1285,224.92,48727,53.5,10705,652.0138035,31.6,15387,613,177.6091214,566.0,0.0,0.0,32.33,8.38,14305,23.94,25.51,12.83,0.0,15.7,99.24,27.72,14.38,0.18,5.98,15.32,896,0.0,18.3547,-66.0072,65.0,0.0,-0.4531962260150513,-1.3028612395234553
2012,Trujillo Alto,72139,74655,0,58218,160,28093,230,7.9,0,53.8,0,31354,44601.31,1090,229.59,48805,78.4,10891,670.1440144,32.5,15858,671,196.0,580.0,0.0,0.0,30.74,7.88,14500,22.02,24.97,13.36,17.14,16.01,99.43,28.06,15.35,0.11,6.16,14.73,847,1.13,18.3547,-66.0072,0.0,0.0,-0.6216554404834818,-2.0635437417615767
2013,Trujillo Alto,72139,73970,0,58123,185,28426,277,8.8,0,53.7,0,31261,43826.53,1299,232.95,48762,80.0,11214,634.8740032,33.7,16439,784,250.0,582.0,92.3,0.9,29.78,8.77,14915,20.47,24.38,13.96,17.36,15.8,99.5,27.28,15.9,0.06,6.1,13.38,830,1.12,18.3547,-66.0072,0.0,0.0,-0.9175540821110495,-2.353670454873303
2014,Trujillo Alto,72139,73030,0,57885,183,28921,308,8.6,0,52.7,0,30687,42337.86,1489,236.72,48580,80.7,11343,816.5249537,33.8,16424,871,241.0,563.0,92.7,0.9,30.81,8.62,15182,19.72,23.71,14.64,17.82,15.75,99.58,27.2,16.27,0.02,6.19,12.53,831,1.14,18.3547,-66.0072,0.0,0.0,-1.270785453562251,-2.4614919000734656
2015,Trujillo Alto,72139,71886,0,57429,162,29340,264,7.9,0,53.1,0,30140,41532.87,1368,237.0,48226,82.1,11316,687.4896363,34.9,16835,829,267.0,551.0,6.7,0.8,29.77,7.9,15409,18.32,23.1,15.31,17.62,15.2,99.61,26.79,16.01,0.03,6.09,12.4,765,1.06,18.3547,-66.0072,0.0,0.0,-1.5664795289606959,-2.6794513464729177
2016,Trujillo Alto,72139,70737,0,57074,168,29505,245,8.0,0,52.6,0,30427,41403.62,1376,240.01,47992,83.6,11541,805.4626,35.1,16858,840,272.0,555.0,7.5,0.9,29.9,8.0,15760,16.84,22.33,16.14,18.15,14.97,99.39,0.0,15.16,0.03,5.8,11.76,788,1.11,18.3547,-66.0072,0.0,0.0,-1.5983640764543838,-2.86428936361835
2017,Trujillo Alto,72139,69478,0,56501,150,29385,302,7.3,0,53.1,0,31202,41572.12,1312,245.12,47695,83.4,11575,709.4800913,34.9,16652,776,217.0,542.0,7.6,0.9,30.42,7.33,15703,17.04,21.57,16.95,17.85,13.57,99.37,0.0,14.04,0.11,5.68,10.99,769,1.11,18.3547,-66.0072,150.0,0.0,-1.7798323366837732,-2.9280935014422935
2018,Trujillo Alto,72139,67780,0,55696,157,29351,295,6.7,0,52.3,0,31193,40570.61,1173,251.1,47150,83.8,11814,775.644893,34.6,16319,745,186.0,523.0,8.1,0.9,31.03,6.75,15886,16.63,20.71,17.77,17.52,13.26,99.39,0.0,13.08,0.26,5.48,11.74,756,1.12,18.3547,-66.0072,0.0,0.0,-2.443939088632374,-2.860166308360886
2019,Trujillo Alto,72139,66338,0,55076,138,29335,281,5.4,0,52.4,0,32545,41575.2,1448,255.65,46768,84.4,11537,713.5579864,36.0,16845,632,167.0,550.0,8.0,0.9,29.46,5.4,16482,16.04,19.86,18.62,18.33,13.1,99.24,0.0,13.18,0.27,4.71,11.84,756,1.14,18.3547,-66.0072,75.0,4.1,-2.127471230451461,-3.0781965180247077
2020,Trujillo Alto,72139,65011,0,54534,170,29080,273,4.7,0,51.7,0,32611,41144.0,1877,258.86,46494,84.9,11290,707.4984099,35.8,16662,678,185.0,558.0,7.8,1.3,29.29,4.72,16824,15.52,18.95,19.48,19.11,12.59,99.18,0.0,12.47,0.25,4.52,10.54,799,1.23,18.3547,-66.0072,45.0,0.0,-2.0003617835931187,-3.326248987273396
2021,Trujillo Alto,72139,68001,0,57546,177,29042,326,5.5,0,52.1,0,33948,40915.49,1506,270.97,49339,85.4,11237,736.5140868,36.9,18229,827,275.0,587.0,6.3,1.0,28.25,5.54,17543,15.01,18.09,20.22,19.76,11.27,99.4,0.0,12.25,0.27,4.1,9.76,795,1.17,18.3547,-66.0072,0.0,0.0,4.599221670178899,-3.4937481356326376
2022,Trujillo Alto,72139,67497,0,57686,193,29548,680,6.5,0,53.0,0,35821,39978.31,2196,292.63,49610,86.2,10500,857.1872608,38.5,19083,911,299.0,597.0,6.3,1.0,29.25,6.5,19492,14.27,17.24,21.04,21.16,11.52,99.5,33.32,12.22,0.24,3.69,10.44,817,1.21,18.3547,-66.0072,0.0,0.0,-0.7411655710945375,-3.3978407889451394
2023,Trujillo Alto,72139,67329,0,57938,212,29887,626,7.2,0,55.5,0,38773,41557.83,2589,304.7,50032,87.2,9488,869.6165822,39.9,19965,878,280.0,600.0,4.9,1.0,28.16,7.21,21652,13.18,16.54,21.71,22.46,10.55,99.46,38.8,13.94,0.05,3.12,9.07,808,1.2,18.3547,-66.0072,0.0,0.0,-0.24889995110893848,-3.6993126933179927
2024,Trujillo Alto,72139,67088,0,58176,207,30711,625,7.9,0,54.8,0,40055,41700.86,2806,313.7,50419,89.0,9377,976.0128073,41.3,20808,865,309.0,,4.8,1.0,27.7,7.89,23034,11.43,15.84,22.38,22.22,9.75,99.44,39.71,14.83,0.05,2.38,7.16,854,1.27,18.3547,-66.0072,0.0,0.0,-0.3579438280681413,-4.033604596850312
2011,Utuado,72141,33404,0,26101,118,12662,179,31.4,0,41.1,0,14153,20550.14,1003,224.92,21519,42.5,5242,383.7512215,18.2,3912,116,75.80237463,193.0,0.0,0.0,55.86,31.45,7234,39.27,25.19,15.26,0.0,14.49,98.46,24.13,2.82,0.36,9.19,23.68,106,0.0,18.2655,-66.7005,70.0,0.0,-0.9987848611481609,3.4279310746609784
2012,Utuado,72141,33033,0,26040,99,12717,191,30.9,0,39.3,0,14752,20984.84,1129,229.59,21485,63.9,5265,388.2743875,18.8,4037,114,85.0,188.0,0.0,0.0,54.47,30.94,7388,37.12,24.49,15.82,22.12,12.74,99.26,20.7,2.8,0.3,7.98,22.16,106,0.32,18.2655,-66.7005,0.0,0.0,-1.1106454316848313,2.43697858022152
2013,Utuado,72141,32593,0,25958,106,12977,187,33.7,0,38.4,0,14852,20821.84,984,232.95,21419,63.2,5309,421.5317307,17.7,3784,103,79.0,191.0,91.2,1.6,55.75,33.69,7408,37.77,23.84,16.51,21.58,13.71,99.55,20.2,2.68,0.24,6.94,21.99,112,0.34,18.2655,-66.7005,0.0,0.0,-1.3320013320013313,2.7011900302500935
