scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat2,Añasco,West,20807.504247078592,21715.54323079694,-908.0389837183466,-4.181516317908951
hurricane_cat2,Aguas Buenas,Central Mountains,19610.850588083158,20510.680681744376,-899.8300936612177,-4.387129357740504
hurricane_cat2,Villalba,South,17848.613979957438,18706.608049753955,-857.9940697965176,-4.586582813487679
hurricane_cat2,Lajas,West,19202.005412398637,20040.045886218148,-838.0404738195102,-4.181829116448499
hurricane_cat2,Cataño,Metro,18665.85515228519,19480.10528452896,-814.2501322437711,-4.1799062189383855
hurricane_cat2,Sabana Grande,West,18641.746827683048,19455.394156479215,-813.6473287961671,-4.182116909336421
hurricane_cat2,Orocovis,Central Mountains,17576.144381418886,18381.877775514284,-805.7333940953977,-4.3833029679300815
hurricane_cat2,Quebradillas,North,19321.25264962251,20120.91961021853,-799.6669605960196,-3.9743062249992986
hurricane_cat2,Santa Isabel,South,16555.68638785463,17351.114525196113,-795.4281373414851,-4.584305729677585
hurricane_cat2,Peñuelas,South,16304.266350677477,17087.27593536822,-783.0095846907425,-4.582413180734236
hurricane_cat2,Barceloneta,North,18635.359969478264,19408.38915473382,-773.0291852555565,-3.982964166127152
hurricane_cat2,Luquillo,East,14433.946221979082,15193.948895806192,-760.0026738271099,-5.0020088855036535
hurricane_cat2,Comerío,Central Mountains,15596.627126303369,16310.975935526356,-714.3488092229873,-4.379558967204958
hurricane_cat2,Adjuntas,Central Mountains,14915.072898363356,15600.014532777845,-684.9416344144884,-4.3906474123811154
hurricane_cat2,Guayanilla,South,14147.896133568061,14828.913343772288,-681.017210204227,-4.592495717093352
