year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe
2012,Manatí Municipio,72091,43974.0,0.0,34176.0,157.0,17955.0,249.0,22.6,2.7,45.0,1.5,17513.0,24561.03,1196.0,229.59,28735.0,32.2,8076.0,621.6309194369276,13170.0,4503.0,221.0,116.0,647.0,,
2012,Maricao Municipio,72093,6546.0,272.0,5141.0,256.0,2318.0,99.0,8.4,3.9,40.3,5.5,12288.0,17233.25,2233.0,229.59,4264.0,33.5,1569.0,283.3972476930572,2068.0,438.0,24.0,30.0,19.0,,
2012,Maunabo Municipio,72095,12201.0,0.0,9677.0,80.0,5001.0,110.0,26.4,6.7,40.0,3.2,16043.0,22499.44,2135.0,229.59,8038.0,32.5,2296.0,306.0261426741186,3919.0,759.0,2.0,4.0,53.0,,
2012,Mayagüez Municipio,72097,88664.0,0.0,72978.0,211.0,39853.0,319.0,17.2,1.7,38.6,1.2,15060.0,21120.83,680.0,229.59,56617.0,30.4,15803.0,724.6212803941104,25975.0,7813.0,975.0,208.0,1615.0,,
2012,Moca Municipio,72099,40044.0,0.0,30958.0,148.0,15081.0,192.0,24.4,3.3,43.5,2.3,14384.0,20172.78,787.0,229.59,25733.0,31.2,7517.0,577.4859305645463,12382.0,3868.0,103.0,75.0,291.0,,
2012,Morovis Municipio,72101,32617.0,0.0,24648.0,109.0,10662.0,176.0,26.4,4.5,40.1,2.7,14596.0,20470.1,1946.0,229.59,19965.0,31.5,5344.0,555.5609777513176,9717.0,1993.0,28.0,46.0,163.0,,
2012,Naguabo Municipio,72103,26761.0,0.0,20607.0,86.0,10400.0,186.0,17.9,3.5,44.5,2.4,16706.0,23429.26,1497.0,229.59,17040.0,32.3,4877.0,474.9578928705154,7962.0,2621.0,29.0,35.0,117.0,,
2012,Naranjito Municipio,72105,30385.0,0.0,23905.0,115.0,9873.0,175.0,8.5,2.3,33.3,2.2,16007.0,22448.95,1071.0,229.59,19407.0,31.5,5148.0,446.8131600568631,9418.0,2022.0,21.0,24.0,302.0,,
2012,Orocovis Municipio,72107,23386.0,0.0,18013.0,100.0,8253.0,117.0,29.0,3.6,42.1,2.3,14296.0,20049.36,838.0,229.59,14462.0,31.8,4457.0,381.6084380618437,7140.0,1827.0,11.0,18.0,141.0,,
2012,Patillas Municipio,72109,19225.0,0.0,15176.0,110.0,8229.0,127.0,29.5,3.8,41.1,2.6,14777.0,20723.94,1471.0,229.59,12625.0,30.5,3713.0,434.66998976234834,6049.0,1475.0,25.0,22.0,97.0,,
2012,Peñuelas Municipio,72111,24193.0,0.0,18309.0,117.0,8587.0,138.0,24.4,3.8,44.5,2.1,15541.0,21795.41,1359.0,229.59,14729.0,33.4,4383.0,392.4245150344203,7094.0,1764.0,5.0,8.0,152.0,,
2012,Ponce Municipio,72113,165602.0,0.0,130391.0,237.0,66003.0,491.0,22.3,1.2,47.3,0.9,17459.0,24485.3,455.0,229.59,107234.0,30.6,30116.0,979.703016224815,49869.0,19203.0,1210.0,276.0,2377.0,,
2012,Quebradillas Municipio,72115,25874.0,0.0,20226.0,115.0,9592.0,170.0,17.3,3.5,34.9,2.2,14255.0,19991.86,1264.0,229.59,16909.0,28.9,4134.0,454.9604378404786,8035.0,2479.0,47.0,40.0,205.0,,
2012,Rincón Municipio,72117,15182.0,0.0,12228.0,70.0,8445.0,131.0,24.3,4.6,46.0,2.8,16548.0,23207.67,976.0,229.59,10559.0,24.5,2314.0,308.4444844700582,5015.0,1437.0,84.0,60.0,138.0,,
2012,Río Grande Municipio,72119,54203.0,0.0,42642.0,139.0,22478.0,262.0,21.3,2.4,51.5,1.5,22491.0,31542.4,1455.0,229.59,35451.0,29.9,9836.0,674.4160437000294,16786.0,5681.0,131.0,101.0,324.0,,
2012,Sabana Grande Municipio,72121,25216.0,0.0,19896.0,107.0,10321.0,139.0,28.8,3.8,41.2,2.1,15958.0,22380.23,1067.0,229.59,16692.0,33.1,4695.0,457.73900860643283,7671.0,2801.0,68.0,64.0,177.0,,
2012,Salinas Municipio,72123,31019.0,0.0,23789.0,117.0,13120.0,184.0,23.1,4.0,41.8,2.2,13386.0,18773.14,1187.0,229.59,19570.0,36.6,6159.0,501.8864413390742,9141.0,2261.0,11.0,18.0,182.0,,
2012,San Germán Municipio,72125,35441.0,0.0,28400.0,112.0,14708.0,152.0,7.1,1.8,37.5,1.9,15470.0,21695.83,980.0,229.59,23738.0,28.0,6573.0,524.4473281464975,11160.0,3402.0,371.0,141.0,372.0,,
2012,San Juan Municipio,72127,393633.0,0.0,319020.0,360.0,184552.0,779.0,16.0,0.7,54.3,0.6,23100.0,32396.49,574.0,229.59,268930.0,21.0,55031.0,1204.7082634397425,118716.0,56017.0,4610.0,484.0,10974.0,,
2012,San Lorenzo Municipio,72129,40979.0,0.0,32271.0,118.0,15323.0,193.0,14.0,2.1,44.7,1.7,17875.0,25068.72,1248.0,229.59,26965.0,26.9,6953.0,494.5806304335017,12930.0,3151.0,92.0,63.0,241.0,,
2012,San Sebastián Municipio,72131,42291.0,0.0,33489.0,138.0,16495.0,258.0,22.1,3.7,36.1,2.1,13658.0,19154.6,862.0,229.59,28473.0,24.0,5956.0,586.9625200981745,13526.0,4122.0,36.0,34.0,427.0,,
2012,Santa Isabel Municipio,72133,23261.0,0.0,17436.0,89.0,8928.0,151.0,13.2,2.5,45.9,2.4,18024.0,25277.68,1617.0,229.59,14352.0,32.6,4294.0,374.00802130435653,6719.0,2318.0,50.0,32.0,162.0,,
2012,Toa Alta Municipio,72135,74178.0,0.0,56666.0,217.0,24355.0,316.0,14.6,1.7,54.3,1.3,27211.0,38161.95,1217.0,229.59,46365.0,25.7,10832.0,711.5180953426272,21799.0,8732.0,288.0,149.0,325.0,,
2012,Toa Baja Municipio,72137,89294.0,0.0,70086.0,178.0,34568.0,293.0,17.0,1.3,55.1,1.3,23572.0,33058.45,945.0,229.59,58395.0,31.0,16325.0,902.5126037901077,26662.0,9247.0,114.0,62.0,721.0,,
2012,Trujillo Alto Municipio,72139,74655.0,0.0,58218.0,160.0,28093.0,230.0,7.9,1.0,53.8,1.2,31354.0,43972.28,1090.0,229.59,48805.0,24.4,10891.0,670.1440143730301,22115.0,11658.0,671.0,196.0,580.0,,
2012,Utuado Municipio,72141,33033.0,0.0,26040.0,99.0,12717.0,191.0,30.9,2.9,39.3,1.9,14752.0,20688.88,1129.0,229.59,21485.0,27.9,5265.0,388.2743875148089,10254.0,3211.0,114.0,85.0,188.0,,
2012,Vega Alta Municipio,72143,39913.0,0.0,30786.0,146.0,15196.0,230.0,19.5,2.8,39.6,1.8,17616.0,24705.48,1542.0,229.59,25510.0,22.2,5243.0,438.32065887886233,11758.0,3577.0,56.0,52.0,439.0,,
2012,Vega Baja Municipio,72145,59444.0,0.0,46327.0,149.0,23424.0,243.0,12.7,1.9,34.5,1.3,16462.0,23087.06,991.0,229.59,38677.0,15.9,5828.0,526.2109843019243,17987.0,5296.0,159.0,97.0,391.0,,
2012,Vieques Municipio,72147,9293.0,0.0,7358.0,60.0,4544.0,159.0,12.7,5.0,47.0,4.5,16598.0,23277.79,1948.0,229.59,6213.0,31.9,2095.0,295.67718883945037,3025.0,369.0,0.0,18.0,101.0,,
2012,Villalba Municipio,72149,25983.0,0.0,19771.0,113.0,8645.0,152.0,28.2,3.4,48.4,2.1,16014.0,22458.76,1593.0,229.59,15815.0,38.8,5687.0,443.00451464968165,7513.0,2044.0,39.0,43.0,125.0,,
2012,Yabucoa Municipio,72151,37823.0,0.0,29677.0,135.0,13881.0,215.0,23.3,2.7,39.0,1.7,17926.0,25140.24,1192.0,229.59,24597.0,33.4,7475.0,513.4218538395108,11746.0,2584.0,39.0,48.0,185.0,,
2012,Yauco Municipio,72153,41876.0,0.0,33137.0,101.0,16848.0,196.0,31.1,2.5,42.6,1.6,14728.0,20655.22,944.0,229.59,27776.0,28.2,7524.0,465.9066430090904,12951.0,3850.0,97.0,67.0,426.0,,
2013,Adjuntas Municipio,72001,19334.0,0.0,15087.0,79.0,7298.0,140.0,27.2,3.9,39.6,2.1,11528.0,15933.81,1354.0,232.95,12518.0,25.2,3075.0,304.39612349699854,5950.0,1663.0,39.0,38.0,130.0,90.1,2.0
2013,Aguada Municipio,72003,41595.0,0.0,33414.0,140.0,16683.0,195.0,30.3,3.0,47.5,1.7,15665.0,21651.9,1057.0,232.95,27801.0,24.0,5955.0,470.03191381011567,13411.0,4243.0,170.0,128.0,451.0,93.7,1.3
2013,Aguadilla Municipio,72005,59982.0,0.0,47917.0,151.0,26312.0,303.0,25.9,2.2,40.0,1.5,15847.0,21903.46,833.0,232.95,40418.0,27.8,10721.0,765.5181251936494,19064.0,6376.0,324.0,101.0,857.0,93.7,0.8
2013,Aguas Buenas Municipio,72007,28378.0,0.0,22354.0,111.0,10492.0,177.0,16.5,3.1,35.1,2.3,14902.0,20597.29,1474.0,232.95,18651.0,33.8,5958.0,535.2803004034429,8912.0,2238.0,51.0,37.0,148.0,93.2,1.4
2013,Aibonito Municipio,72009,25560.0,0.0,20364.0,79.0,9766.0,157.0,10.0,2.3,34.9,2.0,16189.0,22376.16,1261.0,232.95,16888.0,33.0,4982.0,420.2868068355227,7944.0,3202.0,24.0,27.0,285.0,94.7,1.2
